Comment,Designator,Footprint,LCSC,Quantity
,"Q1,Q2,Q3,Q4,Q5,Q6,Q7",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C20599939,7
,SW1,SW-SMD_MSK12CO2,C2681570,1
"10kΩ","R1,R10,R11,R12,R13,R14,R2,R3,R4,R5,R6,R7,R8,R9",R0603,C3017715,14
10uF,"C1,C2",CAP-SMD_L3.2-W1.6,C122260,2
5.1kΩ,"R15,R16",R0603,C2907044,2
Val**,USB-1,USB-C_SMD-TYPE-C-31-M-12_1,C165948,1
